name,street_address,google_map,restaurant_type,food_review,price_range,latitude,longitude,postal_code
Match 65 Brasserie (formerly Paris Match),"29 East 65th Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7671920%2C-73.968298,French,4.4,$31 to $50,40.7672541,-73.9682118,10065
Barbetta Restaurant,"321 West 46th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7600330%2C-73.988502,Italian,4.2,$31 to $50,40.7603928,-73.9889446,10036
Pera Mediterranean Brasserie,"303 Madison Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7525360%2C-73.979487,Mediterranean,4.4,$31 to $50,40.752316,-73.9794252,10017
The Whitby Bar and Restaurant,"18 W 56th St New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7626050%2C-73.975734,American,4.4,$31 to $50,40.7625874,-73.9757432,10019
FIG & OLIVE Uptown,"808 Lexington Avenue New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7644040%2C-73.966924,Mediterranean,4.2,$31 to $50,40.7644078,-73.9669097,10065
Monkey Bar,"60 East 54th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7600270%2C-73.973006,American,4.3,$50 and over,40.7598899,-73.9732086,10022
Rock Center Cafe,"Rockefeller Center 20. West 50th Street New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7580000%2C-73.977,Contemporary American,4.2,$31 to $50,40.7588279,-73.9781906,10020
Obica Mozzarella Bar  Pizza e Cucina,"928 Broadway New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7400480%2C-73.989301,Italian,4.3,$31 to $50,40.7400454,-73.9891322,10010
Etcetera Etcetera,"352 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.990333,Italian,4.6,$31 to $50,40.7592451,-73.9911523,10036
Caf? Centro,"Metlife Building 200 Park Avenue New York, NY  10166",//www.google.com/maps/search/?api=1&query=40.7538330%2C-73.975698,French,4.3,$31 to $50,40.7535178,-73.9767512,10166
Periyali,"35 W. 20th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7401000%2C-73.992,Greek,4.6,$31 to $50,40.7407661,-73.9928511,10011
Shun Lee West,"43 West 65th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7727140%2C-73.98143,Chinese,4.1,$31 to $50,40.7729,-73.9813485,10023
Haru Sushi - Amsterdam Ave,"433 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7841670%2C-73.977247,Japanese,4.3,$31 to $50,40.784199,-73.977301,10024
Zengo - NYC,"622 Third Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7500930%2C-73.975875,Asian,4.4,$31 to $50,40.7497769,-73.9757026,10017
Manzo Ristorante - Eataly NYC Flatiron,"200 5th Avenue New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7419670%2C-73.989491,Italian,4.5,$31 to $50,40.7419931,-73.9899357,10010
Bagatelle - NY,"One Little West 12th New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7396090%2C-74.006141,French,4.3,$31 to $50,40.7396384,-74.0058723,10014
Trattoria Zero Otto Nove,"15 West 21st Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7408570%2C-73.991622,Italian,4.5,$31 to $50,40.7408377,-73.9915684,10010
Ortzi by Jose Garces,"120 W 41st St New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7544110%2C-73.985758,Basque,4.5,$31 to $50,40.7543759,-73.9858036,10036
American Cut Steakhouse Midtown,"109 East 56th St. New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7607860%2C-73.970371,Steakhouse,4.6,$31 to $50,40.7608714,-73.9706595,10022
Maloney & Porcelli,"37 E. 50th St. New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7577590%2C-73.975376,American,4.4,$50 and over,40.7578794,-73.9746006,10022
Royal 35 Steakhouse,"1 E 35th St New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7490760%2C-73.983398,Steakhouse,4.8,$50 and over,40.74901,-73.983485,10016
Chazz Palminteri Italian Restaurant,"30 W 46th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7564730%2C-73.98063,Italian,4.6,$50 and over,40.7564645,-73.980563,10036
Bodega Negra,"355 West 16th street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7420080%2C-74.003721,Contemporary Mexican,4.5,$50 and over,40.7423311,-74.0034791,10011
Dos Caminos - Park,"373 Park Ave South at 27th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7423580%2C-73.984693,Mexican,4.3,$31 to $50,40.7421247,-73.9843344,10016
Barraca,"81 Greenwich Ave New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7370790%2C-74.001583,Spanish,4.3,$31 to $50,40.7370027,-74.0015437,10014
Gabriel's Bar & Restaurant,"11 West 60th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7690460%2C-73.982426,Italian,4.5,$50 and over,40.7693649,-73.9828696,10023
The Cecil Steakhouse,"210 W 118th St New York, NY  10026",//www.google.com/maps/search/?api=1&query=40.8046950%2C-73.952523,American,4.2,$31 to $50,40.8047705,-73.952519,10026
Dos Caminos ??Meatpacking,"675 Hudson Street at 14th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7404350%2C-74.005212,Mexican,4.2,$31 to $50,40.7405323,-74.0054882,10014
Bobby Van's Grill - 50th Street,"135 West 50th Street New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7600000%2C-73.982,American,4.4,$31 to $50,40.7606896,-73.9823111,10020
Untitled at the Whitney,"99 Gansevoort Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7396330%2C-74.008876,American,4.6,$31 to $50,40.7396059,-74.0089716,10014
Bedford & Co.,"118 East 40th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7502080%2C-73.977637,Contemporary American,4.4,$31 to $50,40.7501922,-73.9775392,10016
Pampano New York,"209 E. 49th St. New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7551000%2C-73.971,Mexican,4.4,$31 to $50,40.7550102,-73.9704858,10017
Cipriani - Dolci,"89 East 42nd Street Grand Central Terminal West Balcony New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7519560%2C-73.977232,Italian,4.3,$31 to $50,40.7529559,-73.9775909,10017
Lugo Cucina,"1 Penn Plaza New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7514970%2C-73.99281,Italian,4.2,$31 to $50,40.7512148,-73.9922255,10019
Rouge Tomate Chelsea,"126 W 18th St New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7402200%2C-73.996266,Contemporary American,4.4,$31 to $50,40.7402203,-73.9962661,10011
Socarrat Paella Bar - Chelsea,"259 W 19th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7427570%2C-73.999476,Spanish,4.5,$31 to $50,40.7427139,-73.999508,10011
Bann Restaurant,"350 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7629670%2C-73.987845,Korean,4.5,$31 to $50,40.7629136,-73.9881449,10019
Socarrat Paella Bar - Midtown East,"953 Second Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7552520%2C-73.968451,Spanish,4.4,$31 to $50,40.7553091,-73.9685283,10022
High Street on Hudson,"637 hudson st New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7388420%2C-74.005791,Contemporary American,4.3,$31 to $50,40.7388972,-74.0057401,10014
Hanjan,"36 West 26th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7441790%2C-73.990668,Korean,4.5,$31 to $50,40.7442413,-73.9906129,10010
Le Colonial NYC,"149 E. 57th St New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7610000%2C-73.969,Vietnamese,4.2,$31 to $50,40.7608569,-73.9683494,10022
Delmonico's Kitchen,"207 West 36th Street New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7524190%2C-73.989978,American,4.3,$31 to $50,40.7526176,-73.9901605,10018
Morton's The Steakhouse - Midtown Manhattan,"551 5th Ave (entrance on 45th St.) New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7555820%2C-73.979297,Steakhouse,4.7,$50 and over,40.7553825,-73.9788937,10017
Ted's Montana Grill - NYC,"110 West 51st Street Time Life Bldg. New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7611920%2C-73.981581,American,4.2,$31 to $50,40.7606647,-73.9814419,10020
